NO_OF_FRAMES	3000
NO_OF_CAMERAS	8
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-06-28, 17:16:30.991	1829317.80032220
DATA_INCLUDED	6D
BODY_NAMES	Drone
BODY_FILTERS	No filter
TRANSLATION_ORIGIN	Global	
ROTATION_ORIGIN	Global	
Frame	Time	Drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00000	-2.77984	-2.81946	13.53317	-178.94345	1.17975	-86.34949	0.20926	0.06366	0.99778	0.01971	0.99776	-0.06404	0.01937	0.02059	0.01844	-0.99962	
2	0.01000	-2.79511	-2.87560	13.59679	-178.92328	1.32090	-86.31927	0.21218	0.06418	0.99773	0.02023	0.99767	-0.06462	0.02179	0.02305	0.01879	-0.99956	
3	0.02000	-2.84567	-2.83313	13.63266	-178.89360	1.34034	-86.38550	0.29986	0.06303	0.99780	0.02075	0.99774	-0.06348	0.02212	0.02339	0.01930	-0.99954	
4	0.03000	-2.84712	-2.82909	13.65574	-178.76189	1.20864	-86.46516	0.28448	0.06164	0.99784	0.02287	0.99788	-0.06210	0.01972	0.02109	0.02160	-0.99954	
5	0.04000	-2.75852	-2.83050	13.54985	-178.94708	1.16855	-86.34528	0.21543	0.06373	0.99777	0.01964	0.99776	-0.06411	0.01918	0.02039	0.01837	-0.99962	
6	0.05000	-2.77810	-2.84322	13.57576	-178.96416	1.30404	-86.30350	0.21419	0.06445	0.99773	0.01951	0.99766	-0.06487	0.02154	0.02276	0.01807	-0.99958	
7	0.06000	-2.85901	-2.83991	13.63091	-178.92436	1.35455	-86.37558	0.30884	0.06320	0.99780	0.02023	0.99772	-0.06365	0.02240	0.02364	0.01877	-0.99954	
8	0.07000	-2.86796	-2.76147	13.69230	-178.71291	1.27097	-86.42917	0.36946	0.06227	0.99778	0.02380	0.99781	-0.06276	0.02073	0.02218	0.02246	-0.99950	
9	0.08000	-2.75740	-2.81435	13.58753	-178.86418	1.18103	-86.36004	0.19749	0.06347	0.99776	0.02109	0.99777	-0.06388	0.01931	0.02061	0.01982	-0.99959	
10	0.09000	-2.78040	-2.85807	13.55982	-178.98454	1.24536	-86.32493	0.21269	0.06408	0.99776	0.01908	0.99771	-0.06447	0.02055	0.02173	0.01772	-0.99961	
11	0.10000	-2.86191	-2.83289	13.61924	-178.96599	1.32111	-86.37573	0.29273	0.06320	0.99781	0.01947	0.99773	-0.06362	0.02187	0.02306	0.01804	-0.99957	
12	0.11000	-2.86532	-2.75433	13.70073	-178.72609	1.26596	-86.42447	0.35966	0.06235	0.99778	0.02357	0.99781	-0.06284	0.02066	0.02209	0.02223	-0.99951	
13	0.12000	-2.74862	-2.81941	13.59448	-178.87946	1.14768	-86.34889	0.19415	0.06367	0.99775	0.02079	0.99777	-0.06406	0.01874	0.02003	0.01955	-0.99961	
14	0.13000	-2.87096	-2.72351	13.54470	-178.91133	1.19930	-86.41836	0.33007	0.06246	0.99784	0.02027	0.99783	-0.06286	0.01970	0.02093	0.01900	-0.99960	
15	0.14000	-2.92179	-2.75236	13.64659	-178.76466	1.28725	-86.43909	0.39358	0.06209	0.99781	0.02291	0.99782	-0.06258	0.02108	0.02246	0.02155	-0.99952	
16	0.15000	-2.88762	-2.74228	13.65711	-178.74545	1.23546	-86.45056	0.38550	0.06190	0.99781	0.02319	0.99785	-0.06237	0.02016	0.02156	0.02189	-0.99953	
